University,University Type,Release,Title,Link,Additional Information,Course/ Syllabus Links,Category,Format,Pages,No of classes covering privacy,Privacy Defn,Privacy Threats,Privacy Solutions
University of Massachusetts-Lowell,Doctoral-R2,No,Introduction to IoT Security and Privacy,https://www.uml.edu/catalog/courses/COMP/4650?courselist=%2Fcatalog%2Fundergraduate%2Fsciences%2Fdepartments%2Fcomputer-science%2Fcourse-listing.aspx,,https://www.cs.uml.edu/~xinwenfu/Classes/IoT/2022SP/COMP5670-IoT.html,,,,2,,"Pervasive sensor networks monitoring individuals entering.
","- individuals control their data in terms of collection by who and when
- Personal data should be used for only authorized services by authorized service providers
- Personal data should be stored only when really needed
"
Stony Brook University,Doctoral-R1,No,Web Security,https://www.cs.stonybrook.edu/students/Undergraduate-Studies/courses/CSE361,,https://www.securitee.org/teaching/cse361/,,,,3,,"- Referer can be stripped
- Discovering targets for known exploits in browser extensions - eg: LastBlur","- Cross-Origin Resource Sharing (CORS) - CORS Request Headers should contain header only and the complete URL 
- Caching/Proxying
- OCSP Stapling
- TLS Protocol"
Rice University,Doctoral-R1,No,SOCIETY IN THE INFORMATION AGE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201120&p_crn=20812,,https://drive.google.com/file/d/1vH0eNCXKd2d_aWAk9t661M-EacZYmmaA/view?usp=drive_link,,,,1,,,
Duke University,Doctoral-R1,No,Usable Security,https://courses.cs.duke.edu/spring23/compsci590.3/,,https://courses.cs.duke.edu/spring23/compsci590.3/,,,,10,,,
Case Western Reserve University,Doctoral-R1,No,Data Privacy,https://bulletin.case.edu/course-descriptions/csds/,,https://drive.google.com/file/d/1tZcJ-MTtUwbRRAJrcOEuKUhG9KYS2r8x/view?usp=drive_link,,,,-,,,
Case Western Reserve University,Doctoral-R1,No,Internet Security and Privacy,https://bulletin.case.edu/course-descriptions/csds/,,https://docs.google.com/document/d/1VGe_Dc01Gkk1fg5rRf-bUR4Qm1G7yfjO/edit?usp=drive_link&ouid=109178796343356996296&rtpof=true&sd=true,,,,6,"- Web privacy  - There is now widespread concern about the privacy of users’ activities on the World-Wide Web. The list of Web locations visited by a user often conveys detailed information about the user’s family, financial or health situation. Consequently, users often consider their Web-browsing history to be private information that they do not want unknown parties to learn. Of course, visiting a Web site necessarily leaks some information to that site; but users would like some assurance that information about their visits to a site is not available to arbitrary third parties.","- Geo-location leakage
- cached cookies
- History sniffing ","- cookie syncing
- Web privacy measurement
- Privacy Badger tools which use heuristics to block third-party cookies with the goal of preventing third-party tracking, erring on the side of false positives (i.e., blocking too many cookies)
- Location privacy through access-control mechanisms
- Location privacy through digital rights management
- Location privacy through Smokescreen which is meant to enable privacy-preserving presence-sharing among users with pre-established trust relationships, and relies on centralized, trusted brokers to coordinate anonymous communication between strangers.
- Location privacy through Adeona : a device-tracking service designed to help users recover lost or stolen mobile devices without compromising their location privacy.
- SMILE - Secure MIssed connections through Logged Encounters. SMILE is a secure, centralized missed-connections service. It provides users with both location and encounter privacy from adversarial service providers and peers, and uses a passive key-exchange protocol which is feasible using a widely-deployed, short-range wireless technology, such as Bluetooth.
- Location privacy through segregating location-sensitive resources instead of cacheing them in cache shared across all websites.
- Geo-Location privacy through segregating location-sensitive resources instead of cacheing them in cache shared across all websites.
- Web privacy through Privacy policies and third party audits
- History sniffing prevention through blocking all known, automated techniques while still distinguishing visited from unvisited links and allowing site authors some control over how this distinction is made.
- Private browsing
"
Saint Xavier University,MastersCollegesAndUniversities-M1,No,Relational Database Theory and Design,https://www.sxu.edu/catalog/_resources/documents/undergraduate-catalog-2022-23.pdf,,https://docs.google.com/document/d/103KrkUzEPNOW9wLtLLXZjog8GSunupsU/edit?usp=sharing&ouid=109178796343356996296&rtpof=true&sd=true,,,,0,,,
McNeese State University,MastersCollegesAndUniversities-M1,No,Topics in Computing Ethics,https://catalog.mcneese.edu/search_advanced.php?cur_cat_oid=90&ecpage=1&cpage=1&ppage=1&pcpage=1&spage=1&tpage=1&search_database=Search&filter%5Bkeyword%5D=privacy+&filter%5B3%5D=1&filter%5B31%5D=1,,https://drive.google.com/file/d/19PfE4iTmnWO7-DDuFyPFWFpJBwuw2fC2/view?usp=sharing,,,,1,NA,NA,NA
Winona State University,MastersCollegesAndUniversities-M2,No,Introduction to Internet of Things,https://catalog.winona.edu/search_advanced.php?cur_cat_oid=27&ecpage=1&cpage=1&ppage=1&pcpage=1&spage=1&tpage=1&search_database=Search&filter%5Bkeyword%5D=privacy&filter%5B3%5D=1&filter%5B31%5D=1,,https://drive.google.com/file/d/1znaXsRTACb9d92mc8vzlbD1TUXKxyId4/view?usp=sharing,,,,-,"- Privacy is related to security but requires specific measures at the application, network, and device levels. Not only must user data be protected from outright theft, but the network needs to be designed so that less-private data cannot easily be used to infer more private data.
- Privacy protects personal information from access by unauthorized actors.
- Privacy and safety are dependent on security, because they employ security mechanisms for their implementation, such as data integrity and confidentiality. Interestingly, safety and privacy are overlapping, because privacy is a safety issue in some contexts, such as the financial transactions.
- Privacy of location information is about both controlling access to the information and providing the appropriate level of granularity to individual requestors.","- Data collected from beacons are correlated in time, which might cause serious threats to data security and user privacy.
- unauthorized data sharing over the Internet.","- Hierarchical Data Sandboxing
- Privacy enforced through encryption, authentication to conform identity, and Information authentication by using digitally signed certificates are the key security mechanisms in the Internet today.
- Homomorphic encryption
- Privacy in ubiquitous computing: notice, choice and consent, anonymity and pseudonymity, proximity and locality, adequate security, and access and recourse.
- VSPN is a privacy-preserving navigation scheme that utilizes speed data and road conditions collected by RSUs to guide vehicles. "
Harvey Mudd College,Baccalaureate-ArtsAndSciences,No,File Systems,https://www.hmc.edu/cs/academic-programs/course-descriptions/,,https://www.cs.hmc.edu/~geoff/classes/hmc.cs137.202209/,,,,0,-,-,-
Luther College,Baccalaureate-ArtsAndSciences,No,Computer Networks,https://catalog.luther.edu/courses?subjectCode=CS&cq=&sortBy&page=1,,https://drive.google.com/file/d/1nR09LZ4nQNHFSgjvku85R41wwWJf2bEa/view?usp=sharing,,,,-,,"- Attackers, via the Internet, might be able to hack into IoT devices or into the servers collecting data from IoT devices. For example, an attacker could hijack an Internet-connected doll and talk directly with a child; or an attacker could hack into a database that stores personal health and activity information collected from wearable devices.","- A combination of a trusted proxy server and SSL
- Limit LAN broadcast traffic
- Pretty Good Privacy (PGP) - example of an e-mail encryption scheme, which provides secure e-mail.
- Wired Equivalent Privacy (WEP) - provides authentication and data encryption between a host and a wireless access point (that is, base station) using a symmetric shared key approach."
North Carolina State University at Raleigh,Doctoral-R1,No,Software Security,https://sites.google.com/ncsu.edu/csc415-software-security/syllabus,,,,,,3,"- Privacy is the ability and/or right to protect your personal secrets; it extends to the ability and/or right to prevent invasions of your personal space (the exact definition varies quite sharply from one country to another). Privacy can extend to families but not to legal persons such as corporations.
- Privacy is a transient notion. It started when people stopped believing that God could see everything and stopped when governments realized there was a vacancy to be filled.",- social engineering,
University of Idaho,Doctoral-R2,No,Adversarial Machine Learning,https://www.webpages.uidaho.edu/vakanski/Courses/Adversarial_Machine_Learning/Spring_2024/CS_487_587_Adversarial_Machine_Learning_Syllabus.pdf,,,,,,4,"- A plausible notion of privacy, known in statistical disclosure control as the “Dalenius desideratum,” states that the model should reveal no more about the input to which it is applied than would have been known about this input without applying the model.
- The model breaches “privacy” not just of the people whose data was used to create the model, but also of other people from the same population, even those whose data was not used and whose identities may not even be known to the model’s creator.
- In terms of privacy, our personal data are being harvested by almost every online service and are used to train models that power machine learning applications. However, it is not well known if and how these models reveal information about the data used for their training. If a model is trained using sensitive data such as location, health records, or identity information, then an attack that allows an adversary to extract this information from the model is highly undesirable. At the same time, if private data has been used without its owners’ consent, the same type of attack could be used to determine the unauthorized use of data and thus work in favor of the user’s privacy
- Differential privacy is a means of protecting data privacy. It aims to hide specific input data from the output so that one can not tell whether the input data contain a particular record or not by looking at the result calculated from input data. When differential privacy is applied to the machine learning algorithm, the trained model becomes insensitive to the removal or replacement of an arbitrary point in the training dataset.
","- Indirect prompting could be leveraged to exfiltrate users’ data (e.g., credentials, personal information) or leak users’ chat sessions. This can be done in interactive chat sessions by persuading users to disclose their data or indirectly via side channels
-  Automated attacks that do not involve humans in the loop could be possible, e.g., attacks against personal assistants that can read emails (containing instructions), access personal data, and send emails accordingly. These scenarios might aim to achieve financial gains and could also extend to, e.g., surveillance.
- Test-time adversarial examples, e.g., Wallace et al. (2019) also craft trigger phrases that cause errors but do so by searching for naturally-occurring trigger phrases
- In particular, the standard practice of ingesting as much NLP data as possible—including from potentially untrusted public sources—exposes fundamental vulnerabilities ranging from data poisoning to privacy.
- The collaborative learning can significantly protect sensitive data privacy without seeing it, it is, however, vulnerable to backdoor attacks.Backdoor attacks insert hidden associations or triggers to the deep learning models to override correct inference such as classification and make the system perform maliciously according to the attacker-chosen target while behaving normally in the absence of the trigger.
- When the backdoor defense requires no training data, e.g., DeepInspect [118], it inverts the model to extract the training data, which unfortunately potentially violates the data privacy preservation purpose of adopting federated learning
- The goal of an attacker in the security violation is to evade well-known security metrics including availability, privacy, and integrity. The attacker may violate the availability of the system by denial-of-service attack. In this case, if the system cannot accomplish the desired task due to the attacker’s behavior, the availability of the service would be affected. The attacker needs to obtain sensitive and private information of users with approaches like reverse-engineering to violate the user’s privacy.
- Using third-party services like search or DNS inquires leverage the feature set and make the feature set more reliable it also endangers the privacy of the users. 
- A privacy breach occurs if an adversary can use the model’s output to infer the values of unintended (sensitive) attributes used as input to the model. 
- ML models may have complex representations of their learned patterns. Not being able to understand what has been captured by the model [4] and
stored in its internal representation may entail a privacy breach
- Loss of privacy has been compromised by DL methods in scenarios where no data fusion is performed. For instance, a few images are enough to threaten users’ privacy even in the presence of image obfuscation [420], and the model parameters of a DNN can be exposed by simply performing input queries on the model
- A centralized operator has direct access to sensitive data so user privacy might be violated
- Shared training data in collaborative learning
- Model Extraction Attack. The model extraction attack targets at the duplication of (i.e., “steal”) the AI model
- Membership Inference Attack
- Model memorization attack studies how malicious training algorithms deliberately create models that leak information about their training data sets.
- Backdoor attacks and privacy. Some recent work raised the awareness of backdoor attacks against machine learning and deep learning systems, where misclassification behaviours are hidden in models and can be triggered by specific input
- Linkage attack: The adversary aims to achieve a target’s information by correlating multiple data sources.
- Identification attack: Identification attack identifies a user’s name or identity-based on some public dataset
- Model extraction. Model extraction attacks aim to extract the parameters of a model trained on private data.
- Model inversion. Model inversion uses the output of a model applied to a hidden input to infer certain features of this input. 
- Property inference attacks. Passive property inference requires access to some data that possess the property and some that do not","- The most successful empirical defense to date is adversarial training (Goodfellow et al., 2015; Kurakin et al., 2017; Madry et al., 2018), in which adversarial examples are found during training (often using projected gradient descent) and added to the training set.
- This scenario is about collaborative learning represented by distributed learning techniques, e.g., federated learning and split learning. For example, Google trains word prediction models from data localized on user phones. Collaborative learning or distributed learning is designed to protect privacy leakage on the data owned by clients or participants.
- We consider the data encryption such as CryptoNet, SecureML and CryptoNN under this backdoor attack surface, which trains the model over encrypted data in order to protect data privacy.
-  Motivated by privacy concerns, the server is designed to have no visibility into an agents’ local data and training process.
- Guided by privacy concerns, perform training using their local data but share only model parameter updates, for iterative aggregation at the server
- In a federated learning model, the training dataset is decentralized among multiple devices (e.g., laptops, mobile phones, and IoT devices), which could belong to different users or organizations. Owing to serious privacy threats, the participant trains the shared model and then submits model updates, while keeping their training data locally. In this approach, there is a central server (aggregator) that coordinates the learning process and aggregates the model updates from the clients, which locally trains the model using their own private datasets.
- In traditional centralized framework, multiple participants are forced to upload their private datasets into a trust central server on which it is possible to learn a model (see Figure 1a for illustration). With the concern of privacy leakage, confidentiality organizations, like the government and bank, may not willing to participate in centralized learning. 
- Differential privacy constitutes a strong standard for privacy guarantees for algorithms on aggregate databases. It is defined in terms of the application-specific concept of adjacent databases. 
- Federated learning
- Keep the training data private while using a ML service
- Encrypting ML model
- GNNs (Generative Neural networks) for the transformation of sensitive images so that they can preserve privacy of individuals.
- GAN to play an important role in this area, as it has demonstrated the capability to preserve high utility for ML algorithms while protecting sensitive information in the dataset.
- VAE, might also be used for privacy protection for a signal data entry
- Private Aggregation of Teacher Ensembles, or PATE, which transfers to a “student” model the knowledge of an ensemble of “teacher” models, with intuitive privacy provided by training teachers on disjoint data and strong privacy guaranteed by noisy aggregation of teachers’ answers."
North Carolina State University at Raleigh,Doctoral-R1,No,Computer and Network Security,https://csc574.dwermke.com/schedule/,,,,,,2,-,- Geo-location leakage,"- Link Shimming
- Privacy Sandbox - The Privacy Sandbox initiative aims to create technologies that both protect people's privacy online and give companies and developers tools to build thriving digital businesses."
